SIMULATION START: 2026-06-08 11:40:38.123539
MODE: PRESSURE | GATEWAY: center
-----------------------------------------------------------------
MODE | STEP | RATIO | VALUE (Head/Coeff) | REDUCTION
-----------------------------------------------------------------
PRES | 48   | 0.93  | Head: 46.53      | -6.9%
PRES | 49   | 0.89  | Head: 44.51      | -11.0%
PRES | 50   | 0.86  | Head: 43.07      | -13.9%
PRES | 51   | 0.84  | Head: 41.95      | -16.1%
PRES | 52   | 0.82  | Head: 41.04      | -17.9%
PRES | 53   | 0.81  | Head: 40.27      | -19.5%
PRES | 54   | 0.79  | Head: 39.60      | -20.8%
PRES | 55   | 0.78  | Head: 39.01      | -22.0%
PRES | 56   | 0.77  | Head: 38.49      | -23.0%
PRES | 57   | 0.76  | Head: 38.01      | -24.0%
PRES | 58   | 0.75  | Head: 37.58      | -24.8%
PRES | 59   | 0.74  | Head: 37.18      | -25.6%
PRES | 60   | 0.74  | Head: 36.80      | -26.4%
PRES | 61   | 0.73  | Head: 36.46      | -27.1%
PRES | 62   | 0.72  | Head: 36.14      | -27.7%
PRES | 63   | 0.72  | Head: 35.83      | -28.3%
PRES | 64   | 0.71  | Head: 35.55      | -28.9%
PRES | 65   | 0.71  | Head: 35.28      | -29.4%
PRES | 66   | 0.70  | Head: 35.02      | -30.0%
PRES | 68   | 0.69  | Head: 34.54      | -30.9%
PRES | 70   | 0.68  | Head: 34.11      | -31.8%
PRES | 72   | 0.67  | Head: 33.71      | -32.6%
PRES | 74   | 0.67  | Head: 33.34      | -33.3%
PRES | 76   | 0.66  | Head: 32.99      | -34.0%
PRES | 78   | 0.65  | Head: 32.67      | -34.7%
PRES | 80   | 0.65  | Head: 32.37      | -35.3%
PRES | 82   | 0.64  | Head: 32.08      | -35.8%
PRES | 84   | 0.64  | Head: 31.81      | -36.4%
PRES | 86   | 0.63  | Head: 31.56      | -36.9%
PRES | 89   | 0.62  | Head: 31.19      | -37.6%
PRES | 92   | 0.62  | Head: 30.86      | -38.3%
PRES | 95   | 0.61  | Head: 30.54      | -38.9%
PRES | 98   | 0.60  | Head: 30.24      | -39.5%
PRES | 101  | 0.60  | Head: 29.96      | -40.1%
PRES | 104  | 0.59  | Head: 29.70      | -40.6%
PRES | 107  | 0.59  | Head: 29.45      | -41.1%
PRES | 111  | 0.58  | Head: 29.13      | -41.7%
PRES | 115  | 0.58  | Head: 28.83      | -42.3%
PRES | 119  | 0.57  | Head: 28.55      | -42.9%
PRES | 123  | 0.57  | Head: 28.28      | -43.4%
PRES | 127  | 0.56  | Head: 28.03      | -43.9%
PRES | 132  | 0.55  | Head: 27.73      | -44.5%
PRES | 137  | 0.55  | Head: 27.45      | -45.1%
PRES | 142  | 0.54  | Head: 27.18      | -45.6%
PRES | 147  | 0.54  | Head: 26.92      | -46.2%
PRES | 153  | 0.53  | Head: 26.64      | -46.7%
PRES | 159  | 0.53  | Head: 26.36      | -47.3%
