step,time_hours,expected_demand,actual_demand,satisfaction_pct
0,0.08,0.0001,0.0000,0.00
1,0.17,0.0001,0.0001,98.98
2,0.25,0.0001,0.0001,98.98
3,0.33,0.0001,0.0001,98.98
4,0.42,0.0001,0.0001,96.11
5,0.50,0.0001,0.0001,95.14
6,0.58,0.0001,0.0001,95.14
7,0.67,0.0001,0.0001,96.44
8,0.75,0.0001,0.0001,96.44
9,0.83,0.0001,0.0001,96.44
10,0.92,0.0001,0.0001,96.44
11,1.00,0.0001,0.0001,99.54
12,1.08,0.0001,0.0001,99.46
13,1.17,0.0001,0.0001,99.46
14,1.25,0.0001,0.0001,99.23
15,1.33,0.0001,0.0001,99.23
16,1.42,0.0001,0.0001,99.23
17,1.50,0.0001,0.0001,99.23
18,1.58,0.0001,0.0001,99.23
19,1.67,0.0001,0.0001,99.23
20,1.75,0.0001,0.0001,99.29
21,1.83,0.0001,0.0001,99.29
22,1.92,0.0001,0.0001,99.29
23,2.00,0.0001,0.0001,99.61
24,2.08,0.0001,0.0001,99.39
25,2.17,0.0001,0.0001,99.39
26,2.25,0.0001,0.0001,99.48
27,2.33,0.0001,0.0001,99.48
28,2.42,0.0001,0.0001,99.48
29,2.50,0.0001,0.0001,99.46
30,2.58,0.0001,0.0001,99.23
31,2.67,0.0001,0.0001,99.49
32,2.75,0.0001,0.0001,99.49
33,2.83,0.0001,0.0001,99.49
34,2.92,0.0001,0.0001,99.27
35,3.00,0.0001,0.0001,99.51
36,3.08,0.0001,0.0001,99.51
37,3.17,0.0001,0.0001,99.51
38,3.25,0.0001,0.0001,99.51
39,3.33,0.0001,0.0001,99.51
40,3.42,0.0001,0.0001,99.51
41,3.50,0.0001,0.0001,99.51
42,3.58,0.0001,0.0001,99.51
43,3.67,0.0001,0.0001,99.51
44,3.75,0.0001,0.0001,99.51
45,3.83,0.0001,0.0001,99.51
46,3.92,0.0001,0.0001,99.51
47,4.00,0.0001,0.0001,92.77
48,4.08,0.0001,0.0001,92.40
49,4.17,0.0001,0.0001,92.40
50,4.25,0.0001,0.0001,87.73
51,4.33,0.0001,0.0001,87.73
52,4.42,0.0001,0.0001,75.84
53,4.50,0.0001,0.0001,75.84
54,4.58,0.0001,0.0001,74.49
55,4.67,0.0001,0.0001,74.49
56,4.75,0.0001,0.0001,74.49
57,4.83,0.0001,0.0001,88.48
58,4.92,0.0001,0.0001,89.26
59,5.00,0.0001,0.0001,94.80
60,5.08,0.0001,0.0001,99.04
61,5.17,0.0001,0.0001,97.88
62,5.25,0.0001,0.0001,97.77
63,5.33,0.0001,0.0001,97.49
64,5.42,0.0001,0.0001,94.58
65,5.50,0.0001,0.0001,93.08
66,5.58,0.0001,0.0001,98.30
67,5.67,0.0001,0.0001,98.78
68,5.75,0.0001,0.0001,99.05
69,5.83,0.0001,0.0001,98.75
70,5.92,0.0001,0.0001,95.00
71,6.00,0.0001,0.0001,73.88
72,6.08,0.0001,0.0001,74.42
73,6.17,0.0001,0.0001,64.43
74,6.25,0.0001,0.0001,64.15
75,6.33,0.0001,0.0001,59.68
76,6.42,0.0001,0.0001,57.32
77,6.50,0.0001,0.0000,54.84
78,6.58,0.0001,0.0001,60.47
79,6.67,0.0001,0.0001,58.58
80,6.75,0.0001,0.0001,64.20
81,6.83,0.0001,0.0001,69.80
82,6.92,0.0001,0.0001,79.24
83,7.00,0.0001,0.0001,87.12
84,7.08,0.0001,0.0001,94.37
85,7.17,0.0001,0.0001,91.80
86,7.25,0.0001,0.0001,89.94
87,7.33,0.0001,0.0001,85.26
88,7.42,0.0001,0.0001,80.25
89,7.50,0.0001,0.0001,77.96
90,7.58,0.0001,0.0001,85.03
91,7.67,0.0001,0.0001,85.48
92,7.75,0.0001,0.0001,90.89
93,7.83,0.0001,0.0001,94.83
94,7.92,0.0001,0.0001,91.91
95,8.00,0.0001,0.0001,85.95
96,8.08,0.0001,0.0001,78.27
97,8.17,0.0001,0.0001,69.29
98,8.25,0.0001,0.0001,73.59
99,8.33,0.0001,0.0001,73.32
100,8.42,0.0001,0.0001,73.28
101,8.50,0.0001,0.0001,70.92
102,8.58,0.0001,0.0001,68.89
103,8.67,0.0001,0.0001,78.67
104,8.75,0.0001,0.0001,94.29
105,8.83,0.0001,0.0001,93.38
106,8.92,0.0001,0.0001,89.65
107,9.00,0.0001,0.0001,87.70
108,9.08,0.0001,0.0001,88.91
109,9.17,0.0001,0.0001,83.74
110,9.25,0.0001,0.0001,81.98
111,9.33,0.0001,0.0001,79.93
112,9.42,0.0001,0.0001,80.57
113,9.50,0.0001,0.0001,77.78
114,9.58,0.0001,0.0001,82.35
115,9.67,0.0001,0.0001,87.31
116,9.75,0.0001,0.0001,93.70
117,9.83,0.0001,0.0001,96.10
118,9.92,0.0001,0.0001,96.06
119,10.00,0.0001,0.0001,84.14
120,10.08,0.0001,0.0001,84.93
121,10.17,0.0001,0.0001,70.94
122,10.25,0.0001,0.0001,78.03
123,10.33,0.0001,0.0001,75.45
124,10.42,0.0001,0.0001,75.22
125,10.50,0.0001,0.0001,70.88
126,10.58,0.0001,0.0001,74.23
127,10.67,0.0001,0.0001,75.13
128,10.75,0.0001,0.0001,90.73
129,10.83,0.0001,0.0001,88.67
130,10.92,0.0001,0.0001,82.26
131,11.00,0.0001,0.0001,89.05
132,11.08,0.0001,0.0001,92.78
133,11.17,0.0001,0.0001,90.38
134,11.25,0.0001,0.0001,87.35
135,11.33,0.0001,0.0001,89.26
136,11.42,0.0001,0.0001,79.54
137,11.50,0.0001,0.0001,77.62
138,11.58,0.0001,0.0001,83.02
139,11.67,0.0001,0.0001,89.32
140,11.75,0.0001,0.0001,93.79
141,11.83,0.0001,0.0001,95.03
142,11.92,0.0001,0.0001,93.28
143,12.00,0.0001,0.0001,87.97
144,12.08,0.0001,0.0001,90.17
145,12.17,0.0001,0.0001,77.53
146,12.25,0.0001,0.0001,81.38
147,12.33,0.0001,0.0001,79.76
148,12.42,0.0001,0.0001,78.45
149,12.50,0.0001,0.0001,72.29
150,12.58,0.0001,0.0001,75.32
151,12.67,0.0001,0.0001,83.73
152,12.75,0.0001,0.0001,92.26
153,12.83,0.0001,0.0001,90.18
154,12.92,0.0001,0.0001,87.65
155,13.00,0.0001,0.0001,88.36
156,13.08,0.0001,0.0001,92.14
157,13.17,0.0001,0.0001,85.77
158,13.25,0.0001,0.0001,84.97
159,13.33,0.0001,0.0001,87.59
160,13.42,0.0001,0.0001,81.08
161,13.50,0.0001,0.0001,80.73
162,13.58,0.0001,0.0001,86.34
163,13.67,0.0001,0.0001,90.59
164,13.75,0.0001,0.0001,92.77
165,13.83,0.0001,0.0001,94.49
166,13.92,0.0001,0.0001,92.00
167,14.00,0.0001,0.0001,93.51
168,14.08,0.0001,0.0001,94.16
169,14.17,0.0001,0.0001,82.95
170,14.25,0.0001,0.0001,83.32
171,14.33,0.0001,0.0001,80.88
172,14.42,0.0001,0.0001,82.42
173,14.50,0.0001,0.0001,78.48
174,14.58,0.0001,0.0001,77.56
175,14.67,0.0001,0.0001,85.62
176,14.75,0.0001,0.0001,91.29
177,14.83,0.0001,0.0001,91.91
178,14.92,0.0001,0.0001,92.20
179,15.00,0.0001,0.0001,91.78
180,15.08,0.0001,0.0001,93.10
181,15.17,0.0001,0.0001,93.04
182,15.25,0.0001,0.0001,92.23
183,15.33,0.0001,0.0001,94.00
184,15.42,0.0001,0.0001,90.77
185,15.50,0.0001,0.0001,90.94
186,15.58,0.0001,0.0001,93.64
187,15.67,0.0001,0.0001,94.39
188,15.75,0.0001,0.0001,94.83
189,15.83,0.0001,0.0001,95.31
190,15.92,0.0001,0.0001,95.24
191,16.00,0.0001,0.0001,84.65
192,16.08,0.0001,0.0001,90.24
193,16.17,0.0001,0.0001,73.71
194,16.25,0.0001,0.0001,80.94
195,16.33,0.0001,0.0001,80.58
196,16.42,0.0001,0.0001,79.54
197,16.50,0.0001,0.0001,75.02
198,16.58,0.0001,0.0001,77.30
199,16.67,0.0001,0.0001,79.37
200,16.75,0.0001,0.0001,89.90
201,16.83,0.0001,0.0001,87.74
202,16.92,0.0001,0.0001,85.20
203,17.00,0.0001,0.0001,87.43
204,17.08,0.0001,0.0001,88.60
205,17.17,0.0001,0.0001,86.02
206,17.25,0.0001,0.0001,82.55
207,17.33,0.0001,0.0001,82.03
208,17.42,0.0001,0.0001,77.77
209,17.50,0.0001,0.0001,77.58
210,17.58,0.0001,0.0001,83.39
211,17.67,0.0001,0.0001,89.12
212,17.75,0.0001,0.0001,91.38
213,17.83,0.0001,0.0001,92.14
214,17.92,0.0001,0.0001,91.09
215,18.00,0.0001,0.0001,78.53
216,18.08,0.0001,0.0001,80.81
217,18.17,0.0001,0.0001,71.23
218,18.25,0.0001,0.0001,68.55
219,18.33,0.0001,0.0001,65.02
220,18.42,0.0001,0.0001,58.79
221,18.50,0.0001,0.0001,58.89
222,18.58,0.0001,0.0001,62.69
223,18.67,0.0001,0.0001,58.36
224,18.75,0.0001,0.0001,64.84
225,18.83,0.0001,0.0001,73.28
226,18.92,0.0001,0.0001,82.49
227,19.00,0.0001,0.0001,81.96
228,19.08,0.0001,0.0001,86.59
229,19.17,0.0001,0.0001,84.98
230,19.25,0.0001,0.0001,82.94
231,19.33,0.0001,0.0001,80.64
232,19.42,0.0001,0.0001,77.42
233,19.50,0.0001,0.0001,73.71
234,19.58,0.0001,0.0001,77.78
235,19.67,0.0001,0.0001,79.41
